Ref_Date,GEO,COMPONENTS,Vector,Coordinate,Value
2014/09,Nova Scotia,Total non-firm deliveries,v44159069,4.12,..
2014/10,Nova Scotia,Total non-firm deliveries,v44159069,4.12,..
2014/11,Nova Scotia,Total non-firm deliveries,v44159069,4.12,..
2014/12,Nova Scotia,Total non-firm deliveries,v44159069,4.12,..
2015/01,Nova Scotia,Total non-firm deliveries,v44159069,4.12,..
2015/02,Nova Scotia,Total non-firm deliveries,v44159069,4.12,..
2015/03,Nova Scotia,Total non-firm deliveries,v44159069,4.12,..
2015/04,Nova Scotia,Total non-firm deliveries,v44159069,4.12,..
2015/05,Nova Scotia,Total non-firm deliveries,v44159069,4.12,..
2015/06,Nova Scotia,Total non-firm deliveries,v44159069,4.12,..
2015/07,Nova Scotia,Total non-firm deliveries,v44159069,4.12,..
2015/08,Nova Scotia,Total non-firm deliveries,v44159069,4.12,..
2015/09,Nova Scotia,Total non-firm deliveries,v44159069,4.12,..
2015/10,Nova Scotia,Total non-firm deliveries,v44159069,4.12,..
2015/11,Nova Scotia,Total non-firm deliveries,v44159069,4.12,..
2015/12,Nova Scotia,Total non-firm deliveries,v44159069,4.12,..
2008/01,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,0.0
2008/02,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,0.0
2008/03,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,352.0
2008/04,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,1838.0
2008/05,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,5830.0
2008/06,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,124.0
2008/07,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,262.0
2008/08,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,164.0
2008/09,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,618.0
2008/10,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,172.0
2008/11,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,0.0
2008/12,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,778.0
2009/01,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,1398.0
2009/02,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,836.0
2009/03,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,3809.0
2009/04,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,3242.0
2009/05,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,600.0
2009/06,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,0.0
2009/07,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,123.0
2009/08,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,0.0
2009/09,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,235.0
2009/10,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,0.0
2009/11,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,0.0
2009/12,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,0.0
2010/01,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,831.0
2010/02,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,0.0
2010/03,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,0.0
2010/04,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,0.0
2010/05,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,0.0
2010/06,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,0.0
2010/07,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,0.0
2010/08,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,0.0
2010/09,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,0.0
2010/10,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,312.0
2010/11,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,0.0
2010/12,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,0.0
2011/01,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,0.0
2011/02,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,0.0
2011/03,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,0.0
2011/04,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2011/05,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2011/06,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2011/07,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2011/08,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2011/09,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2011/10,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2011/11,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2011/12,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2012/01,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2012/02,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2012/03,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2012/04,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2012/05,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2012/06,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2012/07,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2012/08,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2012/09,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2012/10,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2012/11,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2012/12,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2013/01,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2013/02,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2013/03,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2013/04,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2013/05,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2013/06,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2013/07,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2013/08,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2013/09,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2013/10,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2013/11,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2013/12,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2014/01,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2014/02,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2014/03,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2014/04,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2014/05,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2014/06,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2014/07,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2014/08,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2014/09,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2014/10,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2014/11,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2014/12,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2015/01,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2015/02,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2015/03,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2015/04,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2015/05,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2015/06,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2015/07,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2015/08,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2015/09,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2015/10,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2015/11,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2015/12,Nova Scotia,Non-firm deliveries to other provinces,v44159070,4.13,..
2008/01,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,0.0
2008/02,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,60.0
2008/03,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,140.0
2008/04,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,1845.0
2008/05,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,3983.0
2008/06,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,2345.0
2008/07,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,655.0
2008/08,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,135.0
2008/09,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,726.0
2008/10,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,356.0
2008/11,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,676.0
2008/12,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,1767.0
2009/01,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,6237.0
2009/02,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,40.0
2009/03,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,0.0
2009/04,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,1327.0
2009/05,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,7905.0
2009/06,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,13467.0
2009/07,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,0.0
2009/08,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,0.0
2009/09,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,0.0
2009/10,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,0.0
2009/11,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,0.0
2009/12,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,0.0
2010/01,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,0.0
2010/02,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,0.0
2010/03,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,96.0
2010/04,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,0.0
2010/05,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,0.0
2010/06,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,329.0
2010/07,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,0.0
2010/08,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,0.0
2010/09,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,0.0
2010/10,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,0.0
2010/11,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,0.0
2010/12,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,0.0
2011/01,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,0.0
2011/02,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,0.0
2011/03,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,0.0
2011/04,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2011/05,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2011/06,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2011/07,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2011/08,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2011/09,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2011/10,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2011/11,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2011/12,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2012/01,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2012/02,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2012/03,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2012/04,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2012/05,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2012/06,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2012/07,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2012/08,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2012/09,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2012/10,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2012/11,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2012/12,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2013/01,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2013/02,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2013/03,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2013/04,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2013/05,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2013/06,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2013/07,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2013/08,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2013/09,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2013/10,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2013/11,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2013/12,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2014/01,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2014/02,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2014/03,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2014/04,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2014/05,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2014/06,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2014/07,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2014/08,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2014/09,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2014/10,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2014/11,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2014/12,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2015/01,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2015/02,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2015/03,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2015/04,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2015/05,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2015/06,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2015/07,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2015/08,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2015/09,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2015/10,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2015/11,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2015/12,Nova Scotia,Non-firm deliveries to the United States,v44159071,4.14,..
2008/01,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1253628.0
2008/02,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1139811.0
2008/03,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1207041.0
2008/04,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1034183.0
2008/05,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,979005.0
2008/06,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,912903.0
2008/07,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,970294.0
2008/08,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,970585.0
2008/09,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,938978.0
2008/10,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1008764.0
2008/11,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1047119.0
2008/12,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1159823.0
2009/01,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1236485.0
2009/02,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1111623.0
2009/03,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1123241.0
2009/04,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,944183.0
2009/05,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,946010.0
2009/06,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,818415.0
2009/07,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,890824.0
2009/08,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,959487.0
2009/09,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,780175.0
2009/10,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1003300.0
2009/11,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1025695.0
2009/12,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1223372.0
2010/01,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1246859.0
2010/02,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1110118.0
2010/03,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1113362.0
2010/04,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,872388.0
2010/05,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,892969.0
2010/06,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,882704.0
2010/07,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,956423.0
2010/08,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,959943.0
2010/09,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,898716.0
2010/10,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,951827.0
2010/11,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1016565.0
2010/12,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1152527.0
2011/01,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1245171.0
2011/02,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1150783.0
2011/03,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1163683.0
2011/04,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1005035.0
2011/05,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,959890.0
2011/06,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,882914.0
2011/07,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,925993.0
2011/08,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,920052.0
2011/09,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,802431.0
2011/10,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,801135.0
2011/11,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,846108.0
2011/12,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,972159.0
2012/01,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1056467.0
2012/02,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1010801.0
2012/03,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,930519.0
2012/04,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,818931.0
2012/05,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,752643.0
2012/06,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,714890.0
2012/07,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,729657.0
2012/08,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,754815.0
2012/09,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,674448.0
2012/10,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,817354.0
2012/11,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,920222.0
2012/12,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1033362.0
2013/01,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1146734.0
2013/02,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1160072.0
2013/03,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1001639.0
2013/04,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,881379.0
2013/05,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,803535.0
2013/06,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,755853.0
2013/07,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,827593.0
2013/08,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,765154.0
2013/09,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,743183.0
2013/10,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,801328.0
2013/11,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,908446.0
2013/12,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1176128.0
2014/01,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1151497.0
2014/02,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1025129.0
2014/03,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1080963.0
2014/04,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,878386.0
2014/05,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,829518.0
2014/06,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,727975.0
2014/07,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,773203.0
2014/08,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,767157.0
2014/09,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,666682.0
2014/10,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,709920.0
2014/11,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,890079.0
2014/12,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1010000.0
2015/01,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1138522.0
2015/02,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1089272.0
2015/03,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,1080406.0
2015/04,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,882983.0
2015/05,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,727915.0
2015/06,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,686685.0
2015/07,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,755755.0
2015/08,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,751936.0
2015/09,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,694776.0
2015/10,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,740041.0
2015/11,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,786175.0
2015/12,Nova Scotia,Total electricity available for use within specific geographic border,v44159072,4.17,886455.0
2008/01,New Brunswick,Total generation,v44159080,5.1,1710816.0
2008/02,New Brunswick,Total generation,v44159080,5.1,1477493.0
2008/03,New Brunswick,Total generation,v44159080,5.1,1420732.0
2008/04,New Brunswick,Total generation,v44159080,5.1,1131123.0
2008/05,New Brunswick,Total generation,v44159080,5.1,879923.0
2008/06,New Brunswick,Total generation,v44159080,5.1,883683.0
2008/07,New Brunswick,Total generation,v44159080,5.1,1024782.0
2008/08,New Brunswick,Total generation,v44159080,5.1,1132025.0
2008/09,New Brunswick,Total generation,v44159080,5.1,794336.0
2008/10,New Brunswick,Total generation,v44159080,5.1,1023743.0
2008/11,New Brunswick,Total generation,v44159080,5.1,1237122.0
2008/12,New Brunswick,Total generation,v44159080,5.1,1440404.0
2009/01,New Brunswick,Total generation,v44159080,5.1,1563381.0
2009/02,New Brunswick,Total generation,v44159080,5.1,1099770.0
2009/03,New Brunswick,Total generation,v44159080,5.1,1215664.0
2009/04,New Brunswick,Total generation,v44159080,5.1,1283802.0
2009/05,New Brunswick,Total generation,v44159080,5.1,1075835.0
2009/06,New Brunswick,Total generation,v44159080,5.1,869828.0
2009/07,New Brunswick,Total generation,v44159080,5.1,1010569.0
2009/08,New Brunswick,Total generation,v44159080,5.1,918082.0
2009/09,New Brunswick,Total generation,v44159080,5.1,755554.0
2009/10,New Brunswick,Total generation,v44159080,5.1,1015016.0
2009/11,New Brunswick,Total generation,v44159080,5.1,1084180.0
2009/12,New Brunswick,Total generation,v44159080,5.1,1159223.0
2010/01,New Brunswick,Total generation,v44159080,5.1,1043724.0
2010/02,New Brunswick,Total generation,v44159080,5.1,977802.0
2010/03,New Brunswick,Total generation,v44159080,5.1,1022241.0
2010/04,New Brunswick,Total generation,v44159080,5.1,1189471.0
2010/05,New Brunswick,Total generation,v44159080,5.1,815794.0
2010/06,New Brunswick,Total generation,v44159080,5.1,651939.0
2010/07,New Brunswick,Total generation,v44159080,5.1,802533.0
2010/08,New Brunswick,Total generation,v44159080,5.1,702167.0
2010/09,New Brunswick,Total generation,v44159080,5.1,708312.0
2010/10,New Brunswick,Total generation,v44159080,5.1,971403.0
2010/11,New Brunswick,Total generation,v44159080,5.1,1037907.0
2010/12,New Brunswick,Total generation,v44159080,5.1,1150120.0
2011/01,New Brunswick,Total generation,v44159080,5.1,1034531.0
2011/02,New Brunswick,Total generation,v44159080,5.1,857798.0
2011/03,New Brunswick,Total generation,v44159080,5.1,1029878.0
2011/04,New Brunswick,Total generation,v44159080,5.1,1088338.0
2011/05,New Brunswick,Total generation,v44159080,5.1,1059480.0
2011/06,New Brunswick,Total generation,v44159080,5.1,883565.0
2011/07,New Brunswick,Total generation,v44159080,5.1,850313.0
2011/08,New Brunswick,Total generation,v44159080,5.1,860039.0
2011/09,New Brunswick,Total generation,v44159080,5.1,872954.0
2011/10,New Brunswick,Total generation,v44159080,5.1,895469.0
2011/11,New Brunswick,Total generation,v44159080,5.1,842063.0
2011/12,New Brunswick,Total generation,v44159080,5.1,968289.0
2012/01,New Brunswick,Total generation,v44159080,5.1,959186.0
2012/02,New Brunswick,Total generation,v44159080,5.1,873532.0
2012/03,New Brunswick,Total generation,v44159080,5.1,907750.0
2012/04,New Brunswick,Total generation,v44159080,5.1,839704.0
2012/05,New Brunswick,Total generation,v44159080,5.1,787681.0
